quote_id,topic_id,section_number,quote_text,attribution,active,sort_order
1,23,1,"Dhritarashtra uvaca:
dharma-kshetre kuru-kshetre
samaveta yuyutsavah
mamakah pandavas caiva
kim akurvata sanjaya

Dhartarastra Berkata: ""Apakah yang akan mereka lakukan, pasukanku dan pasukan Pandava di medan dharma, kuruksetra, yang siap tempur, wahai Sanjaya?""",Bhagawadgita BAB I,1,1
2,23,2,"Sanjaya uvaca:
drishtva tu pandavanikam 
vyudham duryodhanas tada 
acaryam upasangamya 
raja vacanam abravit 

Sanjaya berkata: 
""Lihatlah, itu pasukan Pandava yang amat besar dipimpin oleh putra Pandu dan oleh putra Drupada, muridmu sendiri yang bijaksana, wahai dang acarya""",Bhagawadgita BAB I,1,2
3,23,3,"pasyaitam pandu-putranam
acarya mahatim camum
vyudham drupada-putrena
tava sisyena dhimata

Di dataran nan suci ini (dharmakshetra), tanah kebenaran, tanahnya para Kuru, berkumpullah putra-putraku beserta laskar-laskar mereka, dan juga putra-putra Sang Pandu (Ayahanda Pandawa) bersiap-siap untuk suatu yudha. Apa saja yang sedang mereka lakukan beritakanlah kepadaku, wahai Sanjaya.",Bhagawadgita BAB I,1,3
4,23,4,"atra sura mahesv-asa
bhimarjuna-sama yudhi 
yuyudhano viratas ca 
drupadas ca maha-rathah 

Inilah (nama-nama) para pahlawan, pemanah-pemanah tangguh, sebanding dengan Bhima dan Arjuna, (yaitu) Yuyudhana, Virata dan Drupada, semuanya panglima kereta perang.",Bhagawadgita BAB I,1,4
5,23,5,"dhrishtaketus cekitanah
kasirajas ca viryavan
purujit kuntibhojas ca
saibyas ca nara-pungavah

""hristaketu, Cekitana, dan Raja Kasi yang pemberani, Purujit, Kuntibhoja dan Saibya yaitu banteng diantara manusia. """,Bhagawadgita BAB I,1,5
6,23,6,"yudhamanyus ca vikranta
uttamaujas ca viryavan
saubhadro draupadeyas ca
sarva eva maha-rathah

Yudhamanyu yang pemberani, Uttamauja yang gagah berani, putera putera Subhadra dan Draupadi, sesungguhnya semua ahli perang kereta.",Bhagawadgita BAB I,1,6
7,23,7,"asmakam tu visista ye
tan nibodha dvijottama 
nayaka mama sainyasya 
samjnartham tan bravimi te 

Ketahuilah, mereka (sebagai) pemimpin pemimpin pasukan kami, untuk diketahui saya sebutkan mereka, yang pertama adalah paduka, Pendeta utama 
Dhristaketu, Cekitana, dan Raja Kasi yang pemberani, Purujit, Kuntibhoja dan Saibya yaitu banteng diantara manusia.",Bhagawadgita BAB I,1,7
8,23,8,"bhavan bhismas ca karnas ca
kripas ca samitim-jayah
ashvatthama vikarnas ca
saumadattis tathaiva ca

Yang terhormat paduka sendiri, Bhisma dan Karna, kemudian Krpa, yang sama sama jaya dalam perang; demikian juga Aswatthama, Vikarna dan Somadattaputra.",Bhagawadgita BAB I,1,8
9,23,9,"anye ca bahavah sura
mad-arthe tyakta-jivitah
nana-shastra-praharanah
sarve yuddha-visaradah 

Dan perwira lain yang setia, mempertaruhkan jiwa mereka untuk saya, sama sama bersenjata lengkapa aneka warna, yang semuanya ahli dalam peperangan.",Bhagawadgita BAB I,1,9
10,23,10,"aparyaptam tad asmakam
balam bhismabhiraksitam 
paryaptam tv idam etesam
balam bhimabhiraksitam

Pasukan kita yang dipimpin oleh Bhisma sungguh tak terkirakan banyaknya dan besar pasukan mereka dibawah komando Bhima dapat diperkirakan.",Bhagawadgita BAB I,1,10
11,23,11,"ayanesu ca sarveshu
yatha-bhagam avasthitah 
bhismam evabhirakshantu
bhavantah sarva eva hi

Semuanya siap tegak dalam barisan masing masing dalam divisi yang dipimpin oleh Bhisma, masing masingnya untuk Tuanku.",Bhagawadgita BAB I,1,11
12,23,12,"tasya sanjanayan harsam
kuru-vrddhah pitamahah 
simha-nadam vinadyoccaih
sankham dadhmau pratapavan

Untuk membangkitkan semangat pahlawan Kuru, yang telah lanjut usia, sebagai Patriot, meniup terompet kerangnya kuat kuat (sehingga) menderu bagaikan raungan singa.",Bhagawadgita BAB I,1,12
13,23,13,"tatah sankhas ca bheryas ca
panavanaka-gomukhah
sahasaivabhyahanyanta
sa shabdas tumulo ’bhavat

kemudiaan trompet, genderang dan tambur serta seruling tanduk dibunyikan serentak dengan gemuruh dan gegap gempita.",Bhagawadgita BAB I,1,13
14,23,14,"tatah svetair hayair yukte
mahati syandane sthitau
madhavah pandavas caiva
divyau sankhau pradadhmatuh

Kemudian setelah berdiri diatas kereta megah yang ditarik oleh dua ekor kuda putih, Krsna dan Arjuna meniup terompet devata mereka.",Bhagawadgita BAB I,1,14
15,23,15,"pancajanyam hrsikeso
devadattam dhananjayah
paundram dadhmau maha-sankham
bhima-karma vrkodarah


Krsna meniup terompet Pancajanya dan Arjuna meniup terompet Devadatta. Bhima yang tingkahnya menakutkan, galak bagaikan srigala meniup terompetnya yang hebat, Paudra.",Bhagawadgita BAB I,1,15
16,23,16,"anantavijayam raja
kunti-putro yudhisthirah  
nakulah sahadevas ca 
sughosa-manipuspakau 

Putera Kunti, prabu Yudhisthira meniup terompet Ananta-vijaya, (sedangkan) Nakula dan Sahadeva meniup terompet Sughosa dan Manipuspaka.",Bhagawadgita BAB I,1,16
17,23,17,"kasyas ca paramesv-asah
sikhandi ca maha-rathah 
dhrishtadyumno viratas ca 
satyakis caparajitah 

Maharaja dari Kasi, pemanah yang unggul dan Sikhandi, pahlawan kereta Dhrstadyumna dan Virata demikian pula Satyaki yang tak terkalahkan.",Bhagawadgita BAB I,1,17
18,23,18,"drupado draupadeyas ca
sarvasah prithivi-pate 
saubhadras ca maha-bahuh 
sankhan dadhmuh prithak prithak 

Wahai penguasa bhumi (Dhrtarastra), Raja Drupada dan putera putera Draupadi, serta putera Subhadra dengan persenjataanya yang kuat semua meniup terompet mereka masing masing dari segala penjuru.",Bhagawadgita BAB I,1,18
19,23,19,"sa ghoso dhartarastranam
hridayani vyadarayat
nabhas ca prithivim caiva
tumulo ’bhyanunadayan

Suara gegap gempita itu memecah angkasa dan bumi menggetarkan hati putra putra Dhrtarastra.",Bhagawadgita BAB I,1,19
20,23,20,"atha vyavasthitan drishtva
dhartarastran kapi-dhvajah
pravrtte shastra-sampate
dhanur udyamya pandavah
hrishikesham tada vakyam
idam aha mahi-pate

Kemudian setelah melihat putra putra Dhrtarastra dengan senjata siap dalam barisan dan Arjuna dengan panji panji berlambangkan ""Hanuman"" mengangkat busur panahnya.",Bhagawadgita BAB I,1,20
21,23,21,"arjuna uvaca:
senayor ubhayor madhye 
ratham sthapaya me ’cyuta 

Kemudian mengucapkan kata kata ini kepada Krsna: Arjuna berkata:""wahai Krsna, tariklah keretaku sampai ditengah antara kedua pasukan.",Bhagawadgita BAB I,1,21
22,23,22,"yavad etan nirikse ’ham
yoddhu-kaman avasthitan 
kair maya saha yoddhavyam 
asmin rana-samudyame 


Dengan demikian saya dapat mengetahui siapa-siapa mereka yang siap, ingin bertempur, yang harus saya hadapi nanti dalam peperangan ini.",Bhagawadgita BAB I,1,22
23,23,23,"yotsyamanan avekse ’ham
ya ete ’tra samagatah
dhartarastrasya durbuddher
yuddhe priya-cikirsavah
 

Agar saya dapat menyaksikan sendiri mereka yang berkumpul, berbaris disini, rela berkorban demi kepuasan hati putra Dhrtarasta yang perpikiran jahat.",Bhagawadgita BAB I,1,23
24,23,24,"sanjaya uvaca:
evam ukto hrsikeso
gudakesena bharata
senayor ubhayor madhye
sthapayitva rathottamam

Sanjaya berkata: Demikian permintaan Arjuna kepada Krsna;setelah mendengar permintaan demikian Krsna menenpatkan kereta yang indah ditengah antara kedua pasukan.",Bhagawadgita BAB I,1,24
25,23,25,"bhisma-drona-pramukhatah
sarvesam ca mahi-ksitam
uvaca partha pasyaitan
samavetan kurun iti

Dihadapan Bhisma, Drona dan pemimpin-pemimpin terkemuka, Krsna berkata: ""saksikanlah mereka Arjuna, para keturunan Kuru yang berkumpul ini"".",Bhagawadgita BAB I,1,25
26,23,26,"tatrapasyat sthitan parthah
pitrn atha pitamahan
acaryan matulan bhratrn
putran pautran sakhims tatha


Kemudian Arjuna melihat disana berdiri para bapa, kakek dan guru,paman, saudara dan sepupu, anak, cucu dan sahabat.",Bhagawadgita BAB I,1,26
27,23,27,"svasuran suhridas caiva
senayor ubhayor api
tan samiksya sa kaunteyah 
sarvan bandhun avasthitan

Dan juga Arjuna melihat para mertua, kawan sejawat semuanya, sanak keluarga pada berdiri tegak dalam barisan kedua belah pihak.",Bhagawadgita BAB I,1,27
28,23,28,"kripaya parayavisto
visidann idam abravit
arjuna uvaca: 
drstvemam sva-janam krishna
yuyutsum samupasthitam


Dengan diliputi rasa kasihan dalam keadaan sedih Arjuna berkata:""Dengan menyaksikan orang orangku sendiri, yang berbaris siap untuk berperang, wahai Krsna.",Bhagawadgita BAB I,1,28
29,23,29,"sidanti mama gatrani
mukham ca parisusyati
vepathus ca sarire me 
roma-harsas ca jayate


Anggota tubuh saya menjadli lemas, mulut saya terasa kering sekujur tubuh saya gemetar dan bulu roma saya berdiri.",Bhagawadgita BAB I,1,29
30,23,30,"gandivam sramsate hastat
tvak caiva paridahyate
na ca saknomy avasthatum 
bhramativa ca me manah


Busur Gandiva terlepas dari tangan saya dan seluruh kulit saya panas membara, saya tidak kuasa lagi berdiri dan pikiran saya kacau tak menentu.",Bhagawadgita BAB I,1,30
31,23,31,"nimittani ca pasyami
viparitani keshava
na ca sreyo ’nupasyami 
hatva sva-janam ahave


Dan saya melihat firasat buruk, wahai Kresna, dan tidak ada baiknya saya membunuhi rakyat sendiri dalam peperangan ini.",Bhagawadgita BAB I,1,31
32,23,32,"na kankse vijayam krishna
na ca rajyam sukhani ca
kim no rajyena govinda 
kim bhogair jivitena va


Saya tidak mengharapkan kemenangan dan tidak juga kerajaan dan kesenangan, wahai Krsna, apa gunanya kerajaan dan kesenangan demikian pula hidup ini, wahai Krsna?",Bhagawadgita BAB I,1,32
33,23,33,"yesham arthe kanksitam no
rajyam bhogah sukhani ca
ta ime ’vasthita yuddhe
pranams tyaktva dhanani ca


Untuk siapa kita perebutkan kerajaan, kebahagiaan dan kesenangan yang mereka (pertahankan), berada disini siap untuk berperang dengan mengorbankan jiwa dan harta benda mereka?",Bhagawadgita BAB I,1,33
34,23,34,"acaryah pitarah putras
tathaiva ca pitamahah
matulah svasurah pautrah
syalah sambandhinas tatha

Guru, Bapa, anak-anak dan kakek, serta paman, ipar, cucu, mertua dan sanak keluarga lainnya.",Bhagawadgita BAB I,1,34
35,23,35,"etan na hantum icchami
ghnato ’pi madhusudana
api trailokya-rajyasya
hetoh kim nu mahi-krte

Semua itu aku tak hendak membunuh mereka, sekalipun (mereka membunuhku), wahai Krsna; untuk ketiga dunia ini, apalagi hanya untuk dunia ini saja.",Bhagawadgita BAB I,1,35
36,23,36,"nihatya dhartarastran nah
ka pritih syaj janardana
papam evasrayed asman 
hatvaitan atatayinah

Kebahagiaan apakah yang akan kita nikmati, setelah membunuh putra-putra Dhrtarasta, wahai Krsna,hanya dosalah yang akan datang kepada kami setelah membunuh si durhaka itu.",Bhagawadgita BAB I,1,36
37,23,37,"tasman narha vayam hantum
dhartarastran sa-bandhavan
sva-janam hi katham hatva
sukhinah syama madhava


""Karenanya tidaklah patut kita membunuh putra-putra Dhrtarastra, (yang merupakan) keluarga sendiri. Bagaimana kita bisa bahagia dengan membunuh keluarga sendiri wahai Krsna? """,Bhagawadgita BAB I,1,37
38,23,38,"yady apy ete na pasyanti
lobhopahata-cetasah
kula-ksaya-kritam dosam
mitra-drohe ca patakam

""Walaupun mereka yang jiwanya dikuasai oleh kelobahan tidak melihat adanya dosa membunuh keluarga dan tidak melihat kejahatan karna menindas. """,Bhagawadgita BAB I,1,38
39,23,39,"katham na jneyam asmabhih
papad asman nivartitum
kula-ksaya-kritam dosam
prapasyadbhir janardana

""Namun mengapa kita tidak mengetahui dosa itu, untuk melenyapkan dari perbuatan dosa, oleh karna itu kita menyadari dengan jelas bahwa membasmi keluarga merupakan suatu dosa. """,Bhagawadgita BAB I,1,39
40,23,40,"kula-ksaye pranasyanti
kula-dharmah sanatanah
dharme naste kulam krtsnam
adharmo ’bhibhavaty uta

""Dengan hancurnya semua keluarga, adat istiadat keluarga yang turun temurun akan hancur dan lenyapnya tradisi keluarga akan dikuasai oleh ketidakpastian hukum. """,Bhagawadgita BAB I,1,40
41,23,41,"adharmabhibhavat krishna
pradusyanti kula-striyah
strisu dustasu varsneya
jayate varna-sankarah

""Bila adharma berkecamuk wahai Krsna, kaum wanita menjadi tidak suci dan bila kaum wanita sudah menjadi tidak suci lagi, aturan tentang warna menjadi kacau, wahai Krsna. """,Bhagawadgita BAB I,1,41
42,23,42,"sankaro narakayaiva
kula-ghnanam kulasya ca
patanti pitaro hy esam
lupta-pindodaka-kriyah
 
""Keruntuhan moral ini membawa keluarga dan para pembunuhnya ke neraka, arwah nenek moyang jatuh, semua terpana, air dan nasi tidak ada lagi baginya. """,Bhagawadgita BAB I,1,42
43,23,43,"dosair etaih kula-ghnanam
varna-sankara-karakaih
utsadyante jati-dharmah
kula-dharmas ca sasvatah 

""Karena dosa dan kehancuran keluarga ini membawa keruntuhan bagi hukum golongan (varna dharma), kebiasaan keluarga dan hukum keluarga hancur untuk selama lamanya. """,Bhagawadgita BAB I,1,43
44,23,44,"utsanna-kula-dharmanam
manushyanam janardana
narake niyatam vaso
bhavatity anususruma

""Kami sudah mendengar semuanya ini, wahai Janardana, bahwa manusia yang kebudayaan dan hukumnya musnah, neraka-lah tempatnya yang abadi.""",Bhagawadgita BAB I,1,44
45,23,45,"aho bata mahat papam
kartum vyavasita vayam
yad rajya-sukha-lobhena
hantum sva-janam udyatah

""Ah, betapa besar dosa kita, merencanakan pembunuhan sanak keluarga, hanya menuruti kesenangan dan loba, menginginkan kerajaan dan kenikmatan. """,Bhagawadgita BAB I,1,45
46,23,46,"yadi mam apratikaram
ashastram shastra-panayah
dhartarastra rane hanyus
tan me kshemataram bhavet

""Bagi saya, akan lebih baik apabila Kaurava dengan senjata ditangan menyerang saya dalam pertempuran tanpa senjata, tanpa perlawanan.""",Bhagawadgita BAB I,1,46
47,23,47,"sanjaya uvaca:
evam uktvarjunah sankhye
rathopastha upavisat 
visrjya sa-saram capam 
soka-samvigna-manasah 

Sanjaya Berkata: 
Setelah berkata demikian dimedan perang, Arjuna yang duduk diatas keretanya menjatuhkan busur dan anak panahnya dengan perasaan penuh diliputi duka.

disini berakhir bab ke-satu dari Upanisad Bhagavadgita ajaran tentang Brahmavidya dan Yogasastre, berupa percakapan antara Sri Krsna dan Arjuna yang berjudul: ""Arjuna Visada Yogah""",Bhagawadgita BAB I,1,47
48,24,1,"sanjaya uvaca: 
tam tatha kripayavistam
asru-purnakuleksanam
visidantam idam vakyam
uvaca madhusudanah

 Sanjaya berkata:
""Madhusudana berkata kepada dia (Arjuna) yang diliputi rasa belas kasihan dengan pelupuk mata digenangi air mata oleh rasa remuk redam dalam hati, sebagai berikut"".",Bhagawadgita BAB II,1,48
49,24,2,"Sri-bhagavan uvaca : 
kutas tva kasmalam idam
visame samupasthitam
anarya-justam asvargyam
akirti-karam arjuna

 Sri Bhagavan(Krsna) bersabda:
""Pada saat kesulitan seperti ini, darimanakah kedukaan dan kelemahan hati datang, dan sesungguhnya bukan sifat satria (anarya) tidak luhur dan memalukan serta menjauhkan diri dari orang, wahai Arjuna. """,Bhagawadgita BAB II,1,49
